,Category,Policy,Measures,Start year,Status,Budget commitment (million USD)
0,Low-carbon and efficient transport,Infrastructure and Jobs act: RailPart of Infrastructure Investment and Jobs Act,High-speed rail,2022,In force,66000.0
1,Low-carbon electricity,Inflation Reduction Act 2022: Sec. 13101 Extension and Modification of Credit for Electricity Produced From Certain Renewable ResourcesPart of Inflation Reduction Act of 2022,Low-carbon power,2022,In force,51060.0
2,Low-carbon electricity,Inflation Reduction Act 2022: Sec. 13702 Clean Electricity Investment CreditPart of Inflation Reduction Act of 2022,Low-carbon power,2022,In force,50860.0
3,Low-carbon and efficient transport,Infrastructure and Jobs act: Public Transit Capital Investment GrantsPart of Infrastructure Investment and Jobs Act,Urban transit,2022,In force,39150.0
4,Electricity networks,Infrastructure and Jobs act: Upgrading power infrastructurePart of Infrastructure Investment and Jobs Act,Transmission,2022,In force,37100.0
5,Electricity networks,Inflation Reduction Act 2022: Sec. 13502 Advanced Manufacturing Production CreditPart of Inflation Reduction Act of 2022,Multiple,2022,In force,30600.0
6,Low-carbon electricity,,Utility-scale PV,2022,In force,5100.0
7,Low-carbon electricity,,Residential/commercial PV,2022,In force,5100.0
8,Low-carbon electricity,,Onshore wind,2022,In force,5100.0
9,Low-carbon electricity,,Offshore wind,2022,In force,5100.0
10,Fuels and technology innovation,,Critical minerals,2022,In force,5100.0
11,Fuels and technology innovation,,Batteries,2022,In force,5100.0
12,Low-carbon electricity,Inflation Reduction Act 2022: Sec. 13105 Zero-Emission Nuclear Power Production CreditPart of Inflation Reduction Act of 2022,Nuclear,2022,In force,30000.0
13,Low-carbon electricity,Inflation Reduction Act 2022: Sec. 60103 Greenhouse Gas Reduction FundPart of Inflation Reduction Act of 2022,Multiple,2022,In force,27000.0
14,Low-carbon electricity,,Low-carbon power,2022,In force,9500.0
15,Energy-efficient buildings and industry,,Energy efficiency,2022,In force,9500.0
16,People-centred transitions,,Just transitions,2022,In force,8000.0
17,People-centred transitions,Inflation Reduction Act 2022: Sec. 13302 Residential Clean Energy CreditPart of Inflation Reduction Act of 2022,Multiple,2022,In force,22020.0
18,Energy-efficient buildings and industry,,Heat pumps,2022,In force,3670.0
19,Energy-efficient buildings and industry,,Energy efficient retrofits,2022,In force,3670.0
20,Energy-efficient buildings and industry,,Efficient new builds,2022,In force,3670.0
21,Low-carbon electricity,,Onshore wind,2022,In force,3670.0
22,Low-carbon electricity,,Residential/commercial PV,2022,In force,3670.0
23,Fuels and technology innovation,,Batteries,2022,In force,3670.0
24,Fuels and technology innovation,Inflation Reduction Act 2022: Sec. 13102 Extension and Modification of Energy CreditPart of Inflation Reduction Act of 2022,Multiple,2022,In force,13960.0
