,Sector,Description,Sentiment,Sentiment_Label
0,Power Sector,"Secured historic clean power investments, including Inflation Reduction Act tax credits that will more than double wind, solar, and battery storage deployment; targeted support for clean electricity across rural America; and billions from the Bipartisan Infrastructure Law for grid upgrades and transmission buildout and for clean energy demonstrations.","{'neg': 0.0, 'neu': 0.694, 'pos': 0.306, 'compound': 0.9442}",Positive
1,Power Sector,"Launched the American offshore wind industry, approving the first large-scale projects, identifying new wind energy areas in the Atlantic and the Pacific, and holding a record-breaking $4.3 Billion lease sale in the New York Bight – putting this major new industry on track to achieve the President’s bold goal of deploying 30 gigawatts of offshore wind by 2030, all while creating good-paying union jobs up and down the supply chain.","{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.7506}",Positive
2,Power Sector,"Fast-tracked clean energy projects to bring jobs and savings to communities, by approving a record-level, 35% increase in permitting of solar and other renewables on public lands and reducing fees and rents by 50% for wind and solar. The Administration is also helping local governments advance community solar projects and rooftop installations, and launching a new initiative to deploy distributed energy resources in disadvantaged communities. These efforts will help power 5 million homes by 2025.","{'neg': 0.033, 'neu': 0.795, 'pos': 0.172, 'compound': 0.8555}",Positive
3,Power Sector,"Supported domestic manufacturing of clean energy technologies, by invoking the Defense Production Act to make more solar panels, critical electric grid components, heat pumps, and more in America.","{'neg': 0.075, 'neu': 0.673, 'pos': 0.252, 'compound': 0.617}",Positive
4,Power Sector,"Accelerated innovation by creating an Energy Earthshots Initiative to drive clean energy breakthroughs and dramatically reduce the cost of critical technologies, including long-duration storage, clean hydrogen, enhanced geothermal systems, and floating offshore wind.","{'neg': 0.054, 'neu': 0.609, 'pos': 0.337, 'compound': 0.8779}",Positive
5,Power Sector,"Advanced smart rulemaking, including finalizing a “Good Neighbor Plan” rule to cut cross-state smog, and proposing rules to reduce toxic air and water pollution from power plants.","{'neg': 0.139, 'neu': 0.71, 'pos': 0.152, 'compound': 0.1027}",Positive
6,Transportation Sector,"Rallied automakers and autoworkers around an electric transportation future, setting a national target of 50% electric vehicle sales share in 2030 and spurring investments in new American factories to manufacture EVs, batteries, and chargers.","{'neg': 0.0, 'neu': 0.936, 'pos': 0.064, 'compound': 0.296}",Positive
7,Transportation Sector,"Secured largest investments ever in public transportation, passenger rail, an EV charging network, and battery supply chains through the Bipartisan Infrastructure Law, along with Inflation Reduction Act tax credits for new and used EVs, clean fuels, and EV chargers.","{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.7845}",Positive
8,Transportation Sector,Released a National Blueprint for Transportation to enable agencies to accelerate the nation’s affordable and equitable clean transportation future.,"{'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.4019}",Positive
9,Transportation Sector,"Launched EV Charging Action Plan to build out a national charging network that is convenient, reliable, and equitable; approved deployment plans for all 50 states, D.C., and Puerto Rico ahead of schedule; and paired plans with billions of dollars in enabling grants.","{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.6369}",Positive
10,Transportation Sector,"Finalized strongest passenger vehicle standards in American history to increase average fuel economy to 49 miles per gallon, protect communities from pollution, and save drivers money at the pump.","{'neg': 0.0, 'neu': 0.694, 'pos': 0.306, 'compound': 0.875}",Positive
11,Transportation Sector,"Proposed stronger standards on greenhouse gas and air pollution emissions from light- and heavy-duty vehicles, projected to result in 60% new EV sales share for the light-duty sector by 2030—exceeding the President’s 50% target.","{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.5859}",Positive
